"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Cell_Type","Sex","metadata"
"Ribosome","13/170",8.71568363311652e-14,1.08074477050645e-11,0,0,25.5730493630573,769.008885464255,"RPL32;RPS7;RPS8;RPLP1;RPS6;RPL22;RPS4X;RPS28;RPS27;RPS27A;RPS12;RPL19;RPS23","Endo","","Users"
"Leukocyte transendothelial migration","6/115",5.38903952533026e-06,0.000334120450570476,0,0,15.3616746349658,186.354677624245,"CLDN5;CXCL12;CTNNB1;ACTB;JAM2;ACTG1","Endo","","Users"
"Proteoglycans in cancer","6/203",0.000132257200698188,0.00470441578778036,0,0,8.46185743905055,75.5708352137431,"RPS6;FN1;TIMP3;CTNNB1;ACTB;ACTG1","Endo","","Users"
"Adherens junction","4/72",0.000171309064044487,0.00470441578778036,0,0,15.9991941982272,138.745671905895,"TJP1;CTNNB1;ACTB;ACTG1","Endo","","Users"
"Bacterial invasion of epithelial cells","4/74",0.000190485650553107,0.00470441578778036,0,0,15.5405088062622,133.118967965295,"FN1;CTNNB1;ACTB;ACTG1","Endo","","Users"
"Fluid shear stress and atherosclerosis","5/143",0.000227633021989372,0.00470441578778036,0,0,9.95621980676328,83.5105393396905,"HSP90AA1;CTNNB1;CALM1;ACTB;ACTG1","Endo","","Users"
"Tight junction","5/167",0.000465043874201923,0.0082379200572912,0,0,8.47093621399177,65.0007023919856,"TJP1;CLDN5;ACTB;JAM2;ACTG1","Endo","","Users"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)","3/72",0.00270400813485932,0.0419121260903195,0,0,11.6650998824912,68.975970217766,"CTNNB1;ACTB;ACTG1","Endo","","Users"
"Salmonella infection","3/78",0.00339277162919693,0.0467448535578244,0,0,10.7286486486486,61.0042560035259,"TJP1;ACTB;ACTG1","Endo","","Users"
"Dopaminergic synapse","33/135",1.66023055168986e-11,4.46602018404572e-09,0,0,4.80978669423041,119.386022040159,"CAMK2B;ATF2;CAMK2A;CACNA1B;ITPR1;GNAI1;ARNTL;PPP1CB;PPP2CA;PPP2CB;MAPK9;GRIN2A;PPP3CB;PPP2R1A;KIF5C;PPP2R5E;KIF5B;KIF5A;AKT3;CAMK2G;KCNJ3;PRKCG;PRKCB;PRKCA;PPP2R5C;GNAO1;CALY;PPP2R2C;GNB2;GNAQ;GNB1;CLOCK;CALM2","L2_3_IT","","Users"
