"Term","Cell_Type","Overlap.x","P.value.x","Adjusted.P.value.x","Old.P.value.x","Old.Adjusted.P.value.x","Odds.Ratio.x","Combined.Score.x","Genes.x","Sex.x","metadata.x","Specie.x","Overlap.y","P.value.y","Adjusted.P.value.y","Old.P.value.y","Old.Adjusted.P.value.y","Odds.Ratio.y","Combined.Score.y","Genes.y","Sex.y","metadata.y","Specie.y"
"Adrenergic signaling in cardiomyocytes","L6","11/148",0.00224077100472265,0.0275968639529,0,0,2.94429285724179,17.9629401491468,"CAMK2B;RYR2;PLCB4;GNAQ;CAMK2A;GNAS;ATP2B4;ATP1A3;MAPK1;PPP2R5C;ADCY1","females","Users","Human","4/148",0.0139951737791665,0.0987437261085637,0,0,4.52961432506887,19.3371171442691,"CAMK2B;CAMK2D;ATP1A1;ATP2B1","females","M_MUT_and_WT_F_P60_CORT","Mouse"
"Adrenergic signaling in cardiomyocytes","Pvalb","13/148",0.0196242442944019,0.179421662120246,0,0,2.00444444444444,7.87945011124164,"ATF2;RYR2;ATP1A3;CACNA1C;ATP1A1;SLC8A1;PPP2CB;PPP2R2B;CALM3;CALM1;CACNG2;PRKACB;CALM2","females","Users","Human","17/148",0.0000502937975519872,0.000844935798873386,0,0,3.3282340283826,32.9416249643634,"CACNA2D2;ATP2A2;ATP1A3;PPP2R2A;ATP2B2;ADCY1;ATP2B1;ATP1B1;GNAI1;PPP1CB;CACNB4;GNAQ;GNAS;CALM1;PRKACB;CALM2;SCN1B","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Adrenergic signaling in cardiomyocytes","Sncg","9/148",0.00648843103065272,0.0527185021240534,0,0,2.84335427585533,14.3240640145612,"CACNB2;CACNB4;PPP2R2B;CACNA2D1;SCN7A;ATP2B2;ATP1A1;ATP1B1;CALM2","females","Users","Human","4/148",0.0419564632192924,0.576769643251523,0,0,3.17829457364341,10.078762350559,"CACNB2;PLCB4;ATP2B1;CALM2","females","M_MUT_and_WT_F_P60_CORT","Mouse"
"Adrenergic signaling in cardiomyocytes","Sncg","9/148",0.00648843103065272,0.0527185021240534,0,0,2.84335427585533,14.3240640145612,"CACNB2;CACNB4;PPP2R2B;CACNA2D1;SCN7A;ATP2B2;ATP1A1;ATP1B1;CALM2","females","Users","Human","7/148",0.00114940716869075,0.0632173942779913,0,0,4.66595405341206,31.5815518875128,"CAMK2D;TPM3;GNAS;ATP2A2;ATP2B1;CALM1;ADRA1A","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Adrenergic signaling in cardiomyocytes","Sst","12/148",0.00034593382812913,0.00455479540370021,0,0,3.50857591496558,27.9607643950746,"CAMK2D;CACNG8;CACNB4;PPP2R2B;CACNA2D1;GNAQ;CAMK2A;CACNA2D3;MAPK1;CALM3;ADCY2;CALM2","females","Users","Human","13/148",0.000052774214979649,0.000556767968035297,0,0,4.05050212902708,39.8953714624784,"RYR2;CAMK2D;ATP2A2;ATP1A3;PRKCA;ATP2B2;ADCY1;ATP2B1;ATP1B1;GNAS;CALM1;PLCB1;CALM2","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Aldosterone synthesis and secretion","L6","9/102",0.00172286061849246,0.0245963668682179,0,0,3.54332581254955,22.5489077401138,"CAMK2B;CAMK1D;PLCB4;GNAQ;CAMK2A;GNAS;ATP2B4;ATP1A3;ADCY1","females","Users","Human","4/102",0.00385574550858927,0.0535111514964959,0,0,6.67127677517288,37.08022988464,"CAMK2B;CAMK2D;ATP1A1;ATP2B1","females","M_MUT_and_WT_F_P60_CORT","Mouse"
"Aldosterone synthesis and secretion","Sst","6/102",0.042500700806048,0.152616152894445,0,0,2.46006592292089,7.76946559559596,"CAMK2D;GNAQ;CAMK2A;CALM3;ADCY2;CALM2","females","Users","Human","11/102",0.0000301932571690847,0.000365451498216142,0,0,5.07405121875964,52.8101767375103,"CAMK2D;GNAS;ATP1A3;PRKCA;ATP2B2;ADCY1;ATP2B1;ATP1B1;CALM1;PLCB1;CALM2","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Alzheimer disease","Pvalb","53/175",0.0000000000000000000000000000469662039071452,0.00000000000000000000000000240466964004584,0,0,9.46499905784813,617.384137056661,"GSK3B;NDUFA13;COX7B;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COX8A;SDHD;COX6B1;NDUFS8;NDUFS7;NDUFS5;NDUFS4;NDUFS3;NDUFS2;GAPDH;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB6;NDUFB11;NDUFB4;NDUFB2;COX7A2;UQCR11;CACNA1C;UQCR10;COX5B;COX5A;UQCRH;RTN4;NDUFV3;CYC1;NDUFV2;NDUFV1;NDUFA8;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS;CALM3;CALM1;CALM2","females","Users","Human","27/175",0.000000000595761397995156,0.000000150131872294779,0,0,4.73827909542195,100.646643268706,"APP;RTN3;GSK3B;NDUFA13;COX7B;COX4I1;ATP5A1;ATP2A2;IDE;ATP5G3;COX5B;COX7C;ATP5B;PPP3CA;UQCRFS1;APBB1;COX8A;NDUFA4;COX6C;GRIN2B;GRIN1;GNAQ;UQCRC2;MAPT;CALM1;CALM2;GAPDH","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Alzheimer disease","Sncg","27/175",0.0000000000000029684332759481,0.00000000000014471112220247,0,0,8.34757457929628,279.232564394172,"NDUFB9;NDUFA13;COX4I1;NDUFA10;NDUFB2;COX7A2;UQCR11;COX6A1;COX5B;COX7C;UQCRH;RTN4;GRIN2A;NDUFV3;NDUFV2;NDUFV1;COX8A;NDUFA4;NDUFA1;COX6C;COX6B1;GRIN1;NDUFS7;UQCRQ;NDUFS5;CALM2;GAPDH","females","Users","Human","5/175",0.0194454893667025,0.527900828862377,0,0,3.38046095631235,13.3194899225029,"NDUFB9;PLCB4;NDUFS5;NDUFC2;CALM2","females","M_MUT_and_WT_F_P60_CORT","Mouse"
"Alzheimer disease","Sst","32/175",0.000000000000000000781847070300778,0.000000000000000185297755661284,0,0,9.27593177700244,386.737971018592,"NDUFB9;NDUFA13;NDUFB11;COX4I1;NDUFB2;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX5A;UQCRH;GRIN2A;UQCRFS1;MAPK1;NDUFV1;SNCA;COX8A;NDUFA5;NDUFA4;NDUFA1;COX6C;GRIN2B;NDUFS7;UQCRQ;GNAQ;NDUFAB1;CYCS;NDUFS2;CALM3;CALM2;GAPDH","females","Users","Human","24/175",0.00000000000426810049312948,0.00000000090056920405032,0,0,6.84326710816777,179.155721710477,"COX8A;APP;RTN3;GSK3B;NDUFA13;COX7B;NDUFA4;COX4I1;ATP5A1;ATP5J;ATP2A2;SDHA;ATP5F1;COX6C;COX7C;GRIN1;PPP3CA;UQCRC1;NAE1;MAPT;CALM1;PLCB1;CALM2;GAPDH","females","M_MUT_and_WT_F_P30_CORT","Mouse"
