"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Cell_Type","Sex","metadata"
"Alzheimer disease","27/175",5.95761397995156e-10,1.50131872294779e-07,0,0,4.73827909542195,100.646643268706,"APP;RTN3;GSK3B;NDUFA13;COX7B;COX4I1;ATP5A1;ATP2A2;IDE;ATP5G3;COX5B;COX7C;ATP5B;PPP3CA;UQCRFS1;APBB1;COX8A;NDUFA4;COX6C;GRIN2B;GRIN1;GNAQ;UQCRC2;MAPT;CALM1;CALM2;GAPDH","Pvalb","females","M_MUT_and_WT_F_P30_CORT"
"Glutamatergic synapse","19/114",5.87850635300118e-08,7.40691800478149e-06,0,0,5.1528936742934,85.7924747621562,"GRIA1;GRIA2;SLC38A1;SLC1A1;CACNA1A;ADCY1;GRIN2B;GNAI1;GLS;GRIN1;PPP3CA;GNB2;GNAQ;GNB1;GNAS;DLGAP1;PRKACB;GRIA4;SHANK1","Pvalb","females","M_MUT_and_WT_F_P30_CORT"
"Dopaminergic synapse","19/135",8.94090379395851e-07,6.87823963237089e-05,0,0,4.21541281848981,58.7099890768687,"GRIA1;GRIA2;GSK3B;CACNA1A;PPP2R2A;GRIN2B;GNAI1;PPP1CB;PPP3CA;GNB2;GNAQ;KIF5A;GNB1;GNAS;CALM1;PRKACB;CALM2;SCN1A;GRIA4","Pvalb","females","M_MUT_and_WT_F_P30_CORT"
"Synaptic vesicle cycle","14/77",1.0917840686303e-06,6.87823963237089e-05,0,0,5.69667260843731,78.202197980766,"NSF;SNAP25;ATP6V0B;RAB3A;SYT1;STXBP1;CLTC;SLC1A1;CACNA1A;SLC6A1;CPLX1;DNM1;ATP6V0C;ATP6V0A1","Pvalb","females","M_MUT_and_WT_F_P30_CORT"
"GABAergic synapse","15/90",1.44440281321737e-06,7.27979017861557e-05,0,0,5.13065595716198,68.9961100876485,"NSF;GABRA1;GABRB1;SLC38A1;GAD1;CACNA1A;GAD2;ADCY1;SLC6A1;GNAI1;GLS;GNB2;GNB1;PRKACB;GABRD","Pvalb","females","M_MUT_and_WT_F_P30_CORT"
"Parkinson disease","19/144",2.41136184684926e-06,0.000101277197567669,0,0,3.91006191117093,50.5778976943047,"COX8A;NDUFA13;COX7B;NDUFA4;COX4I1;ATP5A1;UBE2G1;ATP5G3;UBE2J2;COX5B;COX6C;COX7C;GNAI1;ATP5B;UBB;UQCRFS1;UQCRC2;PRKACB;SLC25A4","Pvalb","females","M_MUT_and_WT_F_P30_CORT"
"Oxidative phosphorylation","18/134",3.4108694361596e-06,0.000122791299701746,0,0,3.98818131256952,50.2053932713539,"COX8A;NDUFA13;COX7B;ATP6V0B;NDUFA4;COX4I1;ATP5A1;ATP5G3;COX5B;COX6C;COX7C;ATP5J2;ATP5L;ATP5B;UQCRFS1;UQCRC2;ATP6V0C;ATP6V0A1","Pvalb","females","M_MUT_and_WT_F_P30_CORT"
"Cardiac muscle contraction","13/78",7.20594681012434e-06,0.000226987324518917,0,0,5.1196261682243,60.6194657122344,"COX8A;COX7B;COX4I1;ATP2A2;CACNA2D2;ATP1A3;ATP1B1;COX5B;COX6C;COX7C;CACNB4;UQCRFS1;UQCRC2","Pvalb","females","M_MUT_and_WT_F_P30_CORT"
"Nicotine addiction","9/40",1.52529405785533e-05,0.000427082336199491,0,0,7.40534635650945,82.1307580808328,"GRIA1;GRIA2;GABRA1;GABRB1;CACNA1A;GABRD;GRIN2B;GRIA4;GRIN1","Pvalb","females","M_MUT_and_WT_F_P30_CORT"
"Insulin secretion","13/86",2.1498035830287e-05,0.000521913901174168,0,0,4.55666916619419,48.973025066346,"SNAP25;RAB3A;ATP1A3;CCK;ADCY1;ATP1B1;RIMS2;PCLO;GNAQ;KCNMA1;GNAS;KCNN2;PRKACB","Pvalb","females","M_MUT_and_WT_F_P30_CORT"
