,Unnamed: 0,Metadata,Sex,Cell Type,Time Point,Tissue,Ontology,GO.ID,Term,Annotated,Significant,Expected,Fisher
0,1,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0021954,central nervous system neuron development,89,15,3.41,1.3e-06
1,2,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0043524,negative regulation of neuron apoptotic process,168,19,6.43,2.4e-05
2,3,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:1902476,chloride transmembrane transport,43,9,1.65,2.9e-05
3,4,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0030007,cellular potassium ion homeostasis,11,5,0.42,3.1e-05
4,5,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0099560,synaptic membrane adhesion,34,8,1.3,3.3e-05
0,1,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0098978,glutamatergic synapse,312,45,11.88,9.8e-15
1,2,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0022627,cytosolic small ribosomal subunit,45,17,1.71,2.4e-13
2,3,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0098982,GABA-ergic synapse,69,16,2.63,4.6e-09
3,4,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0043025,neuronal cell body,650,56,24.75,8.3e-09
4,5,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0045211,postsynaptic membrane,248,35,9.44,4.7e-08
0,1,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0003735,structural constituent of ribosome,156,28,5.95,6.4e-12
1,2,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:1904315,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,42,9,1.6,2.3e-05
2,3,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0022851,GABA-gated chloride ion channel activity,12,5,0.46,5e-05
3,4,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:1990948,ubiquitin ligase inhibitor activity,8,4,0.31,0.00013
4,5,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0005237,inhibitory extracellular ligand-gated ion channel activity,15,5,0.57,0.00017
0,1,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0043524,negative regulation of neuron apoptotic process,172,13,3.18,1.9e-05
1,2,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0010001,glial cell differentiation,230,15,4.25,2.5e-05
2,3,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0045664,regulation of neuron differentiation,209,15,3.86,0.00011
3,4,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,1014,36,18.74,0.00012
4,5,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0032489,regulation of Cdc42 protein signal transduction,7,3,0.13,0.00021
0,1,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0022625,cytosolic large ribosomal subunit,52,12,0.96,1.3e-10
1,2,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0022627,cytosolic small ribosomal subunit,45,9,0.83,1.1e-07
2,3,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0043209,myelin sheath,201,15,3.71,4.9e-06
3,4,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0042788,polysomal ribosome,35,6,0.65,3.9e-05
4,5,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0005883,neurofilament,12,4,0.22,5e-05
0,1,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0003735,structural constituent of ribosome,156,21,2.89,1.1e-12
1,2,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0031492,nucleosomal DNA binding,8,4,0.15,7.6e-06
2,3,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,906,34,16.78,6.8e-05
3,4,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0005509,calcium ion binding,481,22,8.91,9.2e-05
4,5,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0070180,large ribosomal subunit rRNA binding,8,3,0.15,0.00033
0,1,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0072272,proximal/distal pattern formation involved in metanephric nephron development,2,2,0.02,0.0001
1,2,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0035249,"synaptic transmission, glutamatergic",101,6,1.02,0.00057
2,3,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0072086,specification of loop of Henle identity,4,2,0.04,0.00061
3,4,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0019896,axonal transport of mitochondrion,17,3,0.17,0.00063
4,5,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0030182,neuron differentiation,1379,33,13.99,0.00126
0,1,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0022627,cytosolic small ribosomal subunit,46,7,0.48,4.5e-07
1,2,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0022625,cytosolic large ribosomal subunit,53,6,0.55,1.8e-05
