"gene_name","module","kME"
"Grik1","green",0.328054452443849
"Adarb2","green",0.338003510428346
"Scn1a","green",0.338923992056626
"Cntnap2","green",0.342295028014914
"Gad2","green",0.342512970856207
"Galntl6","green",0.348744339635603
"Atp1a3","green",0.352981310269854
"Dlx6os1","green",0.363525611511666
"5330434G04Rik","green",0.379574436454683
"Peg3","green",0.448800692790821
"Rtn1","turquoise",0.452445103060686
"Ly6h","turquoise",0.452785512666606
"Atp1b1","turquoise",0.459069512642007
"Pcsk1n","turquoise",0.460304202234498
"Lrrfip1","turquoise",0.464200328859738
"Atp6v0b","turquoise",0.465068449881445
"Epha5","turquoise",0.490307864981622
"Gm27032","turquoise",0.51379083036918
"Srsf11","turquoise",0.515064580950303
"Cadm2","turquoise",0.517530377033433
"Actb","blue",0.18436118794418
"Slc24a2","blue",0.194386606178519
"Lrp1b","blue",0.196653903070197
"Pcdh9","blue",0.203520132004169
"Mapt","blue",0.204909630654277
"Ptn","blue",0.20564163049383
"Kif1b","blue",0.210382272795078
"Sept7","blue",0.213474422663365
"Ckb","blue",0.220510756675508
"Syt11","blue",0.225012117931387
"Sez6","magenta",0.35146365057619
"Nrp1","magenta",0.353664586995346
"B3galt2","magenta",0.361848564599864
"Sdk2","magenta",0.36619145667907
"Rab26","magenta",0.368134141364711
"A830018L16Rik","magenta",0.387769450485841
"Nfib","magenta",0.393418341691169
"Adgra1","magenta",0.403077500967307
"Pbx1","magenta",0.40621250199312
"Nos1ap","magenta",0.418844408571974
"Grin2a","brown",0.568420090217428
"Grin2b","brown",0.580928066929508
"Sorbs2","brown",0.592791941092488
"Slc17a7","brown",0.593319013050274
"Miat","brown",0.621040670791358
"R3hdm1","brown",0.634689259704837
"Camk2a","brown",0.672501111965655
"Kalrn","brown",0.679991179554123
"Celf2","brown",0.710755880339257
"Arpp21","brown",0.748195777105049
"Ppia","yellow",0.380431390744346
"Gnas","yellow",0.387637138457053
"Calm2","yellow",0.393999163950691
"Hsp90ab1","yellow",0.395784038873583
"Mdh1","yellow",0.410538764019067
"Aldoa","yellow",0.42227580200605
"Hspa8","yellow",0.431617076091824
"Gapdh","yellow",0.469858038259191
"Stmn3","yellow",0.478604934324908
"Atp6v0c","yellow",0.494188201573176
"Pacsin1","black",0.449754924450239
"Stxbp5l","black",0.454360113809753
"Slit3","black",0.46475089169467
"Ralyl","black",0.465633247316603
"Gabrb3","black",0.485601478209827
"Ctxn1","black",0.491904209849553
"Plcb1","black",0.498362631983628
"Ahi1","black",0.514986105770152
"Dlgap2","black",0.555272509279433
"Csmd1","black",0.618658732765559
"Gm20754","pink",0.296946083167033
"Grm1","pink",0.299276214372706
"Rreb1","pink",0.312622518065102
"Mblac2","pink",0.315800182075621
"Srgap3","pink",0.322546742686748
"Cpne7","pink",0.327037308149576
"Cntnap5a","pink",0.345429855485846
"Camk2d","pink",0.352857886117779
"Hap1","pink",0.358885551838474
"Epha6","pink",0.389024487719584
"Rab3c","red",0.385340190993906
"Gprasp2","red",0.393039324639892
"Lsamp","red",0.399307286645423
"Map1b","red",0.404419607464815
"Ndrg4","red",0.419156864195981
"Tro","red",0.427355261556078
"Rbfox1","red",0.437720921310086
"Grm5","red",0.446505144485978
"Gria1","red",0.454907904985598
"Zcchc18","red",0.455138810037061
