,logFC,logCPM,F,PValue,FDR,
Mid1,-3.534069117,9.080958429,588.6042627,3.28E-115,5.65E-111,
AC149090.1,-1.776310442,10.66161233,390.4280801,4.99E-80,3.53E-76,
Arc,-3.214640791,9.37992601,389.936469,6.15E-80,3.53E-76,
Fos,-3.169343392,9.068814891,340.0713431,1.20E-70,5.17E-67,
Btg2,-2.782745129,9.043551104,282.1565713,1.29E-59,4.44E-56,
Gm47283,-2.429584588,9.017094873,263.5877785,2.65E-52,7.59E-49,
Dusp1,-2.440888684,8.945077861,241.9822898,1.72E-47,4.24E-44,
Junb,-2.289609441,9.518617655,181.9217207,7.19E-40,1.55E-36,
Npas4,-2.315519317,9.195606091,177.4213689,5.80E-39,1.11E-35,
Egr1,-1.610938393,9.670614948,153.4168185,4.32E-34,7.43E-31,
Dusp6,-1.617939641,9.123164803,107.708388,1.17E-24,1.68E-21,
Nr4a1,-1.560467309,9.160532775,102.4840205,1.44E-23,1.91E-20,
mt-Co1,1.53510573,9.080921283,63.00800477,1.04E-14,9.92E-12,
Ctxn1,0.783762876,9.652853051,47.69428995,6.52E-12,5.11E-09,
Prkcg,0.991563494,9.290378469,45.76251964,1.71E-11,1.18E-08,
Gapdh,0.765977303,9.799680384,44.48672082,3.24E-11,2.15E-08,
H3f3b,0.858352142,9.356199209,42.0271936,1.11E-10,6.84E-08,
Malat1,0.311706452,15.9742578,41.09425608,1.78E-10,1.02E-07,
Mdh1,0.856680483,9.269096604,38.41552014,6.83E-10,3.46E-07,
Chn1,0.544907736,10.25673517,36.74216221,1.59E-09,7.59E-07,
Arhgef9,0.613442731,9.69451565,33.19979281,9.50E-09,3.64E-06,
Selenow,0.717235665,9.464261541,32.14681238,1.62E-08,5.71E-06,
Baiap2,0.566158693,9.782659961,29.75144728,5.47E-08,1.62E-05,
Eno1,0.709760707,9.372533537,28.6439898,9.62E-08,2.67E-05,
Hecw2,0.782373753,9.31216437,28.57437185,9.96E-08,2.72E-05,
Frmd4a,0.619519677,9.498371547,26.62811671,2.69E-07,6.81E-05,
Erc2,0.56429489,9.745720363,26.38321912,3.05E-07,7.49E-05,
Calm2,0.601886563,9.699788923,26.3324454,3.13E-07,7.49E-05,
Cox8a,0.630397176,9.509386421,25.77482471,4.16E-07,9.31E-05,
1110008P14Rik,0.676501626,9.355920152,24.38626539,8.49E-07,0.000166025,
Mast3,0.644422123,9.39670285,24.14068959,9.63E-07,0.00018415,
Nrgn,0.502424504,10.08519423,23.42275132,1.39E-06,0.000257725,
Plcb1,0.456957462,10.02614673,22.5369676,2.20E-06,0.000370715,
Pdlim7,0.530189097,9.681475617,22.37231579,2.39E-06,0.000395579,
Dgkb,0.652897099,9.420886965,22.33934362,2.43E-06,0.000395579,
Rasgrp1,0.579577237,9.517381899,21.93091614,3.00E-06,0.000469819,
Numb,0.55273477,9.584374152,21.73038297,3.33E-06,0.000507199,
Nptxr,0.546889897,9.63595405,20.06430676,7.88E-06,0.001035393,
Rbfox1,0.51122417,9.512545435,17.18079956,3.53E-05,0.003338845,
9530059O14Rik,0.42000948,9.993016093,14.70862527,0.000129059,0.008817527,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
