"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0004667","prostaglandin-D synthase activity",2,1,0,"0.00086"
"2","GO:0005501","retinoid binding",5,1,0,"0.00216"
"3","GO:0005520","insulin-like growth factor binding",11,1,0,"0.00475"
"4","GO:0005504","fatty acid binding",17,1,0.01,"0.00733"
"5","GO:0035198","miRNA binding",21,1,0.01,"0.00905"
"6","GO:0001228","DNA-binding transcription activator activity, RNA polymerase...",152,1,0.07,"0.06429"
"7","GO:0001216","DNA-binding transcription activator activity",153,1,0.07,"0.06470"
"8","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DN...",364,1,0.16,"0.14926"
"9","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II...",366,1,0.16,"0.15004"
"10","GO:0000987","cis-regulatory region sequence-specific DNA binding",373,1,0.16,"0.15275"
"11","GO:0003700","DNA-binding transcription factor activity",397,1,0.17,"0.16201"
"12","GO:0000977","RNA polymerase II transcription regulatory region sequence-s...",428,1,0.19,"0.17386"
"13","GO:0000976","transcription regulatory region sequence-specific DNA bindin...",481,1,0.21,"0.19387"
"14","GO:0001067","regulatory region nucleic acid binding",484,1,0.21,"0.19500"
"15","GO:1990837","sequence-specific double-stranded DNA binding",503,1,0.22,"0.20208"
"16","GO:0003690","double-stranded DNA binding",538,1,0.23,"0.21503"
"17","GO:0043565","sequence-specific DNA binding",558,1,0.24,"0.22237"
"18","GO:0140110","transcription regulator activity",641,1,0.28,"0.25232"
"19","GO:0003677","DNA binding",873,1,0.38,"0.33194"
"20","GO:0036094","small molecule binding",1111,1,0.48,"0.40753"
